alias,generic_name,type
DEXTROMETHORPHAN HYDROBROMIDE,"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL",substance
PHENYLEPHRINE HYDROCHLORIDE,"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL",substance
Rivastigmine Tartrate,RIVASTIGMINE TARTRATE,brand_name
RIVASTIGMINE TARTRATE,RIVASTIGMINE TARTRATE,substance
Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,brand_name
KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,substance
Sinusitis Drops 2060,SINUSITIS DROPS,brand_name
BLACK MUSTARD SEED,SINUSITIS DROPS,substance
CALCIUM SULFIDE,SINUSITIS DROPS,substance
EUPHORBIA RESINIFERA RESIN,SINUSITIS DROPS,substance
GUAIAC,SINUSITIS DROPS,substance
LUFFA OPERCULATA FRUIT,SINUSITIS DROPS,substance
MERCURIC SULFIDE,SINUSITIS DROPS,substance
POTASSIUM DICHROMATE,SINUSITIS DROPS,substance
PULSATILLA MONTANA WHOLE,SINUSITIS DROPS,substance
SILICON DIOXIDE,SINUSITIS DROPS,substance
Histastat Pollen,"BAPTISIA TINCTORIA, ECHINACEA (ANGUSTIFOLIA), ADRENALINUM, ALLIUM CEPA, AMBROSIA ARTEMISIAEFOLIA, ARSENICUM ALBUM, EUPHRASIA OFFICINALIS, HISTAMINUM HYDROCHLORICUM, NATRUM MURIATICUM, NATRUM SULPHURICUM, NUX VOMICA, PHOSPHORUS, PULSATILLA (PRATENSIS), SABADILLA, SINAPIS NIGRA, SOLIDAGO VIRGAUREA, SULPHUR, WYETHIA HELENIOIDES",brand_name
